"Type","Date","Part.of.a.policing.operation","Policing.operation","Latitude","Longitude","Gender","Age.range","Self.defined.ethnicity","Officer.defined.ethnicity","Legislation","Object.of.search","Outcome","Outcome.linked.to.object.of.search","Removal.of.more.than.just.outer.clothing","lsoa21cd","lsoa21nm"
"Person search","2019-05-31T23:01:00+00:00","False",NA,53.407704,-2.162284,"Female","10-17","Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01005822","Stockport 016D"
"Person search","2019-05-31T23:08:00+00:00","False",NA,53.407704,-2.162284,"Female","18-24","Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01005822","Stockport 016D"
"Person search","2019-06-01T00:00:00+00:00","False",NA,53.532931,-2.704898,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest","False","False","E01006365","Wigan 018D"
"Person and Vehicle search","2019-06-01T00:30:00+00:00","False",NA,53.513001,-2.210052,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01005205","Manchester 006B"
"Person search","2019-06-01T00:50:00+00:00","False",NA,53.479421,-2.234025,"Male","18-24","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Summons / charged by post","True","False","E01033654","Manchester 055C"
"Person search","2019-06-01T00:50:00+00:00","False",NA,53.441984,-2.209702,"Male","18-24","White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest","True","False","E01034128","Manchester 032F"
"Person search","2019-06-01T00:50:00+00:00","False",NA,53.479421,-2.234025,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Summons / charged by post","True","False","E01033654","Manchester 055C"
"Person search","2019-06-01T01:05:00+00:00","False",NA,53.560057,-2.64306,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01006255","Wigan 005C"
"Person search","2019-06-01T01:30:00+00:00","False",NA,53.426318,-2.233372,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01005277","Manchester 038D"
"Person search","2019-06-01T01:30:00+00:00","False",NA,53.426318,-2.233372,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01005277","Manchester 038D"
